Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	Filtered on	To keep
RiboSnake: 16S rRNA analysis workflow with QIIME2 and Snakemake	WorkflowHub	1102	https:/workflowhub.eu/workflows/1102?version=1	Ann-Kathrin Dörr		2024-08-15	2024-08-15	1	1	0				MIT	10.48546/workflowhub.workflow.1102.1	16S rRNA Analysis	16S in name	True
HiFi de novo genome assembly workflow	WorkflowHub	340	https:/workflowhub.eu/workflows/340?version=1			2022-05-10	2023-01-16	1	1	0				CC-BY-4.0		AGRF BIO	metap* in description	True
Generalizable machine learning models for rapid antimicrobial resistance prediction in unseen healthcare settings	WorkflowHub	1999	https:/workflowhub.eu/workflows/1999?version=1	Diane Duroux		2025-10-17	2025-10-17	1	1	0				GPL-3.0	10.48546/workflowhub.workflow.1999.1	AMRMALDI	antimicrobial in name	True
vvv2_align_SE_minimap2_pacbio	WorkflowHub	1741	https:/workflowhub.eu/workflows/1741?version=1	Fabrice Touzain	virus, bbmap, display, pacbio, vadr, vardict, variant_calling, vvv2_display	2025-06-19	2025-06-19	1	1	12	fastp, samtools_rmdup, vvv2_display, cshl_fasta_formatter, minimap2, bcftools_call, samtools_depth, vadr, vardict_java, bcftools_consensus, bcftools_mpileup			GPL-3.0-or-later		ANSES-Ploufragan	annot* in description	True
VVV2_align_SE	WorkflowHub	517	https:/workflowhub.eu/workflows/517?version=1	Fabrice Touzain	annotation, bioinformatics, galaxy, snps, virus, high-throughput_sequencing_analysis, single-end, variant, variant calling, variant_calling	2023-06-27	2025-06-19	1	1	10	fastp, vcfutils_vcf2fq, vvv2_display, cshl_fasta_formatter, bcftools_call, vadr, vardict_java, seqtk_seq, bwa_mem, bcftools_mpileup			GPL-3.0		ANSES-Ploufragan	annot* in tags	True
VVV2_align_PE	WorkflowHub	518	https:/workflowhub.eu/workflows/518?version=1	Fabrice Touzain	alignment, annotation, bioinformatics, galaxy, snps, virus, covid-19, paired-end, variant calling, variant_calling, workflow	2023-06-28	2025-06-19	1	1	10	fastp, vcfutils_vcf2fq, vvv2_display, cshl_fasta_formatter, bcftools_call, vadr, vardict_java, seqtk_seq, bwa_mem, bcftools_mpileup		Bioinformatics	GPL-3.0		ANSES-Ploufragan	annot* in tags	True
vvv2_align_SE_bwamem2_nanopore	WorkflowHub	1740	https:/workflowhub.eu/workflows/1740?version=1	Fabrice Touzain	virus, bbmap, display, nanopore, vadr, vardict, variant_calling, vvv2_display	2025-06-19	2025-06-19	1	1	12	fastp, samtools_rmdup, vvv2_display, cshl_fasta_formatter, bcftools_call, samtools_depth, vadr, vardict_java, bcftools_consensus, bcftools_mpileup, bwa_mem2			GPL-3.0-or-later		ANSES-Ploufragan	annot* in description	True
vvv2_align_PE_bwamem2	WorkflowHub	1738	https:/workflowhub.eu/workflows/1738?version=1	Fabrice Touzain	virus, bbmap, display, vadr, vardict, variant_calling, vvv2_display	2025-06-19	2025-06-19	1	1	12	fastp, samtools_rmdup, vvv2_display, cshl_fasta_formatter, bcftools_call, samtools_depth, vadr, vardict_java, bcftools_consensus, bcftools_mpileup, bwa_mem2			GPL-3.0-or-later		ANSES-Ploufragan	annot* in description	True
vvv2_align_SE_bwamem2	WorkflowHub	1739	https:/workflowhub.eu/workflows/1739?version=1	Fabrice Touzain	virus, bbmap, display, vadr, vardict, variant_calling, vvv2_display	2025-06-19	2025-06-19	1	1	12	fastp, samtools_rmdup, vvv2_display, cshl_fasta_formatter, bcftools_call, samtools_depth, vadr, vardict_java, bcftools_consensus, bcftools_mpileup, bwa_mem2			GPL-3.0-or-later		ANSES-Ploufragan	annot* in description	True
ARA (Automated Record Analysis)	WorkflowHub	546	https:/workflowhub.eu/workflows/546?version=1	Anand Maurya, Maciej Szymanski, Wojciech Karlowski	genomics, perl, pipeline, ncbi sra, sequence annotation, sequence search	2023-07-31	2023-07-31	1	1	0			Sequence analysis	LGPL-3.0	10.48546/workflowhub.workflow.546.1	ARA-dev	annot* in tags	True
WRF / EMEP Linear Workflow	WorkflowHub	455	https:/workflowhub.eu/workflows/455?version=1	Douglas Lowe		2023-04-12	2023-04-12	1	1	5				MIT		Air Quality Prediction	binn* in description	True
Open RGB Imaging Workflow for Morphological and Morphometric Analysis	WorkflowHub	1731	https:/workflowhub.eu/workflows/1731?version=1	Jorge Mas-Gómez, Pedro Martínez-García		2025-06-13	2025-06-13	1	1	0			Genotype and phenotype, Imaging	CC-BY-4.0	10.48546/workflowhub.workflow.1731.1	AlmondBreedingLab	ITS in description	True
Preparing a data set for Deep Learning from zipped ABR raw data files	WorkflowHub	216	https:/workflowhub.eu/workflows/216?version=1	Elida Schneltzer	abr, dl	2021-10-19	2023-01-16	1	1	0				Apache-2.0		Applied Computational Biology at IEG/HMGU	binn* in description	True
SeuratExtend	WorkflowHub	1385	https:/workflowhub.eu/workflows/1385?version=1	Yichao Hua	bioinformatics, r-package, single-cell-rna-seq, visualization	2025-05-29	2025-05-30	1	1	0				GPL-3.0	10.48546/workflowhub.workflow.1385.1	Applied Computational Cancer Research	metap* in description	True
DeepAnnotation	WorkflowHub	1732	https:/workflowhub.eu/workflows/1732?version=1	Wenlong Ma, Weigang Zheng, Shenghua Qin, Chao Wang, Bowen Lei, Yuwen Liu		2025-06-14	2025-06-15	1	1	0				CC-BY-4.0	10.48546/workflowhub.workflow.1732.1	Artificial Design for Intelligent Breeding	annot* in name	True
Extract transcripts - TSI	WorkflowHub	879	https:/workflowhub.eu/workflows/879?version=1	Luke Silver, Anna Syme	tsi-annotation	2024-05-08	2024-05-09	1	1	3	transdecoder, tp_sed_tool, busco			GPL-3.0	10.48546/workflowhub.workflow.879.1	Australian BioCommons, Galaxy Australia	annot* in tags	True
Combine transcripts - TSI	WorkflowHub	878	https:/workflowhub.eu/workflows/878?version=1	Luke Silver, Anna Syme	tsi-annotation	2024-05-08	2024-05-09	1	1	8	"bedtools_getfastabed, seq_filter_by_id, gtftobed12, cpat, tp_sed_tool, stringtie_merge, skipping 1 header line
Filter1, tp_cut_tool"			GPL-3.0	10.48546/workflowhub.workflow.878.1	Australian BioCommons, Galaxy Australia	annot* in tags	True
Find transcripts - TSI	WorkflowHub	877	https:/workflowhub.eu/workflows/877?version=1	Luke Silver, Anna Syme	tsi-annotation	2024-05-08	2024-05-09	1	1	2	hisat2, stringtie			GPL-3.0	10.48546/workflowhub.workflow.877.1	Australian BioCommons, Galaxy Australia	annot* in tags	True
QC and trimming of RNAseq reads - TSI	WorkflowHub	876	https:/workflowhub.eu/workflows/876?version=1	Luke Silver, Anna Syme	tsi-annotation	2024-05-08	2024-05-09	1	1	14	__EXTRACT_DATASET__, fastqc, Cut1, tp_replace_in_column, Remove beginning1, trimmomatic, tp_cat, multiqc			GPL-3.0	10.48546/workflowhub.workflow.876.1	Australian BioCommons, Galaxy Australia	annot* in tags	True
